class_id,subject_id,tutor_id,day,start_time,end_time
CLS001,SB001,T001,Monday,08:00,10:00
CLS002,SB001,T001,Wednesday,08:00,10:00
CLS003,SB001,T001,Friday,08:00,10:00
CLS004,SB002,T002,Tuesday,10:00,12:00
CLS005,SB002,T002,Thursday,10:00,12:00
CLS006,SB003,T003,Wednesday,09:00,11:00
CLS007,SB004,T004,Thursday,10:00,12:00
CLS008,SB005,T005,Friday,14:00,16:00
CLS009,SB006,T006,Monday,11:00,13:00
CLS010,SB007,T007,Tuesday,14:00,16:00
CLS011,SB008,T008,Wednesday,08:00,10:00
CLS012,SB009,T009,Thursday,08:30,10:30
CLS013,SB010,T010,Friday,09:00,11:00
CLS014,SB011,T011,Monday,14:00,16:00
CLS015,SB012,T012,Wednesday,11:00,13:00
CLS016,SB013,T013,Friday,10:00,12:00
CLS017,SB014,T014,Tuesday,13:00,15:00
CLS018,SB015,T015,Monday,08:00,10:00
CLS019,SB016,T016,Wednesday,08:00,10:00
CLS020,SB017,T017,Friday,08:00,10:00
CLS021,SB018,T018,Tuesday,10:00,12:00
CLS022,SB019,T019,Thursday,10:00,12:00
CLS023,SB020,T020,Wednesday,09:00,11:00
CLS024,SB021,T021,Thursday,10:00,12:00
CLS025,SB022,T022,Friday,14:00,16:00
CLS026,SB023,T023,Monday,11:00,13:00
CLS027,SB024,T024,Tuesday,14:00,16:00
CLS028,SB025,T025,Wednesday,08:00,10:00
CLS029,SB026,T026,Thursday,08:30,10:30
CLS030,SB027,T027,Friday,09:00,11:00
CLS031,SB028,T028,Monday,14:00,16:00
CLS032,SB029,T029,Wednesday,11:00,13:00
CLS033,SB030,T030,Friday,10:00,12:00
CLS034,SB031,T031,Tuesday,13:00,15:00
CLS035,SB032,T032,Monday,08:00,10:00
CLS036,SB033,T033,Wednesday,08:00,10:00
CLS037,SB034,T034,Friday,08:00,10:00
CLS038,SB035,T035,Tuesday,10:00,12:00
CLS039,SB036,T036,Thursday,10:00,12:00
CLS040,SB037,T037,Wednesday,09:00,11:00
CLS041,SB038,T038,Thursday,10:00,12:00
CLS042,SB039,T039,Friday,14:00,16:00
CLS043,SB040,T040,Monday,11:00,13:00
CLS044,SB041,T041,Tuesday,14:00,16:00
CLS045,SB042,T042,Wednesday,08:00,10:00
CLS046,SB043,T043,Thursday,08:30,10:30
CLS047,SB044,T044,Friday,09:00,11:00
CLS048,SB045,T045,Monday,14:00,16:00
CLS049,SB046,T046,Wednesday,11:00,13:00
CLS050,SB047,T047,Friday,10:00,12:00
CLS051,SB048,T048,Tuesday,13:00,15:00
CLS052,SB049,T049,Monday,08:00,10:00
CLS053,SB050,T050,Wednesday,08:00,10:00
CLS054,SB051,T051,Friday,08:00,10:00
CLS055,SB052,T052,Tuesday,10:00,12:00
CLS056,SB053,T053,Thursday,10:00,12:00
CLS057,SB054,T054,Wednesday,09:00,11:00
CLS058,SB055,T055,Thursday,10:00,12:00
