course_enrollment_id,class_id,student_id
CE001,CLS008,S001
CE002,CLS028,S001
CE003,CLS038,S001
CE004,CLS007,S002
CE005,CLS022,S002
CE006,CLS006,S003
CE007,CLS021,S003
CE008,CLS056,S003
CE009,CLS004,S004
CE010,CLS005,S005
CE011,CLS025,S005
CE012,CLS001,S006
CE013,CLS009,S006
CE014,CLS019,S007
CE015,CLS029,S007
CE016,CLS041,S008
CE017,CLS001,S009
CE018,CLS006,S009
CE019,CLS011,S010
CE020,CLS016,S010
CE021,CLS002,S011
CE022,CLS007,S011
CE023,CLS012,S012
CE024,CLS017,S012
CE025,CLS003,S013
CE026,CLS008,S013
CE027,CLS013,S014
CE028,CLS018,S014
CE029,CLS004,S015
CE030,CLS009,S015
CE031,CLS014,S016
CE032,CLS019,S016
CE033,CLS005,S017
CE034,CLS010,S017
CE035,CLS015,S018
CE036,CLS020,S018
