request_id,student_id,current_subject_id,requested_subject_id,status,request_date
RQ001,S001,SB005,SB010,Pending,2025-07-15
RQ002,S002,SB004,SB009,Pending,2025-07-14
RQ003,S003,SB003,SB008,Pending,2025-07-13
RQ004,S004,SB002,SB012,Pending,2025-07-12
RQ005,S005,SB005,SB010,Pending,2025-07-11
RQ006,S006,SB001,SB011,Pending,2025-07-10
RQ007,S007,SB004,SB009,Pending,2025-07-09
RQ008,S008,SB003,SB008,Pending,2025-07-08
RQ009,S009,SB001,SB011,Pending,2025-07-07
RQ010,S010,SB001,SB011,Pending,2025-07-06
RQ011,S011,SB002,SB012,Pending,2025-07-05
RQ012,S012,SB002,SB012,Pending,2025-07-04
RQ013,S013,SB003,SB008,Pending,2025-07-03
RQ014,S014,SB003,SB008,Pending,2025-07-02
RQ015,S015,SB004,SB009,Pending,2025-07-01
RQ016,S016,SB004,SB009,Pending,2025-06-30
RQ017,S017,SB005,SB010,Pending,2025-06-29
RQ018,S018,SB005,SB010,Pending,2025-06-28
